@RELATION HomeWork2

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1}

@DATA
488.57,393.36,1
374.38,439.06,1
511.89,363.86,1
404.47,466.56,1
351.68,500.66,1
392.5,398.31,1
468.6,412.77,1
474.55,438.02,1
430.66,472.16,1
436.9,438.78,1
453.83,432.65,1
351.32,389.54,1
394.31,401.85,1
333.14,443.25,1
400.81,495.66,1
469.33,441.05,1
457.97,354.1,1
534.92,434.42,1
430.98,408.68,1
317.14,401.24,1
505.59,402.46,1
485.64,370.09,1
394.26,397.48,1
433.72,374.76,1
461.01,395.31,1
441.66,418.94,1
456.93,421.74,1
417.29,402.63,1
420.91,405.72,1
427.13,414.85,1
384.12,435.65,1
492.54,476,1
423.12,443.58,1
456.45,399.15,1
380.92,442.5,1
370.13,401.17,1
418.36,325.94,1
410.43,298.18,1
481.36,329.23,1
452.51,401.58,1
449.3,382.84,1
352.01,377.91,1
375.4,415.19,1
432.71,380.91,1
405.77,382.3,1
486.03,443.07,1
488.53,451.53,1
394.35,532.59,1
465.69,428.01,1
491.19,416.05,1
438.54,385.06,1
502.36,403.63,1
474.87,410.72,1
433.3,327.16,1
465.78,400.59,1
432.34,449.92,1
402.48,385.23,1
440.38,437.41,1
424.59,461.78,1
404.95,465.98,1
509.59,451.26,1
433.66,302.46,1
556.6,385.54,1
408.3,457.37,1
450.46,432.54,1
500.36,413.43,1
556.55,434.61,1
437.69,468.57,1
384.09,420.73,1
462.18,376.02,1
358.14,404.37,1
409.39,403.02,1
436.13,457.14,1
495.8,433.4,1
493.23,440.03,1
421.46,420.44,1
468.09,395.45,1
407.07,416.19,1
455.21,423.82,1
516.66,344.69,1
430.49,421.96,1
408.09,458.65,1
398.31,407.8,1
457.92,490.24,1
488.34,440.66,1
526.97,392.6,1
425.46,405.65,1
430.8,399.71,1
391.81,425.01,1
501.8,450.18,1
419.12,398.89,1
399.62,435.66,1
529.84,499.21,1
462.5,458.84,1
457.91,453.63,1
373.54,373.27,1
444.08,387.02,1
448.3,425.08,1
369.29,408.27,1
411.75,333.57,1
54.606,330.64,0
179.1,433.44,0
91.664,437.78,0
230.65,417.27,0
19.935,420.93,0
150.8,387.33,0
128.84,448.63,0
91.757,371.55,0
148.62,374.17,0
89.914,448.74,0
170.94,495.84,0
132.09,394.26,0
48.483,388.45,0
10,433.19,0
114.91,465.74,0
184.96,460.63,0
137.69,426.43,0
131.47,382.11,0
162.51,444.06,0
60.536,409.31,0
198.66,480.67,0
85.014,344.19,0
130.66,420.12,0
111,476.39,0
136.14,388.95,0
33.531,382.58,0
203.48,367.45,0
155.56,399.54,0
227.3,403.37,0
